,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
277,80,0.0,2962,7.542169650998403,"[1, 0, 2, 2, 2, 0, 1, 2, 0, 0, 1, 2, 0, 1, 2, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 2, 2, 2, 1, 1, 1, 0, 1, 0, 0, 2, 2, 2, 0, 0, 0, 1, 0, 2, 2, 0, 0, 2, 0, 2]",100,80,36
278,0,0.0,2962,7.612227268000424,"[1, 2, 2, 2, 1, 0, 2, 2, 0, 2, 1, 2, 2, 0, 2, 2, 1, 0, 0, 1, 2, 0, 0, 2, 2, 0, 2, 0, 2, 2, 1, 2, 1, 2, 0, 0, 2, 2, 0, 2, 1, 1, 1, 1, 1, 2, 2, 1, 2, 2]",100,80,37
279,80,0.0,3042,7.854056940999726,"[1, 2, 2, 2, 1, 0, 2, 2, 0, 2, 1, 2, 2, 0, 2, 2, 1, 0, 0, 1, 2, 0, 0, 2, 2, 0, 2, 0, 2, 2, 1, 2, 1, 2, 0, 0, 2, 2, 0, 2, 1, 1, 1, 1, 1, 2, 2, 1, 2, 2]",100,80,37
280,0,0.0,3042,7.922404449000169,"[1, 2, 0, 0, 1, 1, 0, 2, 2, 1, 2, 2, 1, 2, 1, 0, 1, 0, 0, 2, 2, 2, 1, 2, 0, 2, 2, 1, 1, 0, 1, 2, 1, 0, 2, 0, 1, 1, 0, 2, 1, 1, 2, 1, 0, 1, 1, 2, 0, 2]",100,80,38
281,80,0.0,3122,8.173141535000468,"[1, 2, 0, 0, 1, 1, 0, 2, 2, 1, 2, 2, 1, 2, 1, 0, 1, 0, 0, 2, 2, 2, 1, 2, 0, 2, 2, 1, 1, 0, 1, 2, 1, 0, 2, 0, 1, 1, 0, 2, 1, 1, 2, 1, 0, 1, 1, 2, 0, 2]",100,80,38
282,0,14.80036999233398,3122,8.246303918000194,"[2, 1, 2, 1, 0, 2, 1, 0, 0, 2, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 2, 0, 0, 1, 2, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 2, 1]",100,80,39
283,80,16.829945582666625,3206,8.500744936998672,"[2, 1, 2, 1, 0, 2, 2, 0, 0, 2, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 1, 1, 2, 0, 1, 2, 2, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 2, 1]",100,80,39
284,0,0.0,3206,8.574782568997762,"[2, 2, 0, 1, 0, 1, 0, 0, 0, 2, 1, 1, 0, 2, 2, 1, 2, 1, 1, 1, 2, 1, 1, 0, 1, 1, 0, 0, 2, 1, 2, 2, 0, 2, 1, 0, 1, 1, 0, 1, 0, 1, 0, 2, 1, 0, 1, 1, 1, 0]",100,80,40
285,80,0.0,3286,8.837518395997904,"[2, 2, 0, 1, 0, 1, 0, 0, 0, 2, 1, 1, 0, 2, 2, 1, 2, 1, 1, 1, 2, 1, 1, 0, 1, 1, 0, 0, 2, 1, 2, 2, 0, 2, 1, 0, 1, 1, 0, 1, 0, 1, 0, 2, 1, 0, 1, 1, 1, 0]",100,80,40
286,0,0.0,3286,8.909554846999526,"[2, 1, 0, 2, 0, 0, 0, 2, 1, 0, 0, 0, 1, 1, 2, 1, 2, 2, 2, 2, 2, 0, 1, 0, 2, 1, 0, 0, 2, 0, 0, 0, 0, 0, 2, 2, 0, 2, 2, 1, 0, 2, 2, 0, 1, 0, 1, 0, 0, 0]",100,80,41
